"","apt_price","area_m2","floor_no","year_built","ym_sale","day_sale","urban","price_pyung","yr_built","yr_built2","season","urban2"
"7538",22900,134.11,5,1994,201809,7,"µø",563.492655282977,"1990s","Old","∞°¿ª","µµΩ√"
"7539",15300,84.78,11,1994,201809,16,"µø",595.541401273885,"1990s","Old","∞°¿ª","µµΩ√"
"7540",13600,84.78,10,1994,201809,19,"µø",529.370134465676,"1990s","Old","∞°¿ª","µµΩ√"
"7541",13700,84.78,15,1994,201809,21,"µø",533.262561924982,"1990s","Old","∞°¿ª","µµΩ√"
"7542",16500,84.78,6,1994,201810,15,"µø",642.250530785563,"1990s","Old","∞°¿ª","µµΩ√"
"7543",20500,134.11,1,1994,201811,28,"µø",504.436656476027,"1990s","Old","∞°¿ª","µµΩ√"
"7544",14300,84.78,12,1994,201901,3,"µø",556.617126680821,"1990s","Old","∞‹øÔ","µµΩ√"
"7545",15000,84.78,13,1994,201901,24,"µø",583.864118895966,"1990s","Old","∞‹øÔ","µµΩ√"
"7546",14300,84.78,2,1994,201902,27,"µø",556.617126680821,"1990s","Old","∞‹øÔ","µµΩ√"
"7547",19800,164.62,8,1994,201902,28,"µø",396.914105212003,"1990s","Old","∞‹øÔ","µµΩ√"
"7548",13800,84.78,8,1994,201903,9,"µø",537.154989384289,"1990s","Old","∫Ω","µµΩ√"
"7549",13500,84.78,9,1994,201903,12,"µø",525.477707006369,"1990s","Old","∫Ω","µµΩ√"
"7550",13500,84.78,9,1994,201903,28,"µø",525.477707006369,"1990s","Old","∫Ω","µµΩ√"
"7551",13800,84.78,6,1994,201904,1,"µø",537.154989384289,"1990s","Old","∫Ω","µµΩ√"
"7552",16900,134.11,6,1994,201904,10,"µø",415.852658265603,"1990s","Old","∫Ω","µµΩ√"
"7553",21500,134.11,13,1994,201904,20,"µø",529.043322645589,"1990s","Old","∫Ω","µµΩ√"
"7554",13500,84.78,15,1994,201905,31,"µø",525.477707006369,"1990s","Old","∫Ω","µµΩ√"
"7555",12500,84.78,3,1994,201906,17,"µø",486.553432413305,"1990s","Old","ø©∏ß","µµΩ√"
"7556",13900,84.78,12,1994,201906,20,"µø",541.047416843595,"1990s","Old","ø©∏ß","µµΩ√"
"7557",12500,84.78,10,1994,201906,27,"µø",486.553432413305,"1990s","Old","ø©∏ß","µµΩ√"
"7558",17600,134.11,4,1994,201907,21,"µø",433.077324584296,"1990s","Old","ø©∏ß","µµΩ√"
"7559",14000,84.78,9,1994,201908,25,"µø",544.939844302902,"1990s","Old","ø©∏ß","µµΩ√"
"7560",8000,49.6752,13,2000,201809,15,"µø",531.452314233259,"2000s","New","∞°¿ª","µµΩ√"
"7561",7500,49.6752,10,2000,201809,21,"µø",498.236544593681,"2000s","New","∞°¿ª","µµΩ√"
"7562",7100,49.6752,10,2000,201810,12,"µø",471.663928882018,"2000s","New","∞°¿ª","µµΩ√"
"7563",6500,49.6752,5,2000,201811,8,"µø",431.805005314523,"2000s","New","∞°¿ª","µµΩ√"
"7564",6900,49.6752,1,2000,201811,8,"µø",458.377621026186,"2000s","New","∞°¿ª","µµΩ√"
"7565",8800,59.2012,1,2000,201811,21,"µø",490.530597352756,"2000s","New","∞°¿ª","µµΩ√"
"7566",9700,59.5452,9,2000,201901,24,"µø",537.574817113722,"2000s","New","∞‹øÔ","µµΩ√"
"7567",7100,49.6752,4,2000,201904,11,"µø",471.663928882018,"2000s","New","∫Ω","µµΩ√"
"7568",8000,49.6752,3,2000,201906,10,"µø",531.452314233259,"2000s","New","ø©∏ß","µµΩ√"
"7569",7000,49.6752,15,2000,201906,21,"µø",465.020774954102,"2000s","New","ø©∏ß","µµΩ√"
"7570",12700,72.78,9,1993,201809,17,"µø",575.845012366035,"1990s","Old","∞°¿ª","µµΩ√"
"7571",13000,84.81,14,1993,201809,19,"µø",505.836575875486,"1990s","Old","∞°¿ª","µµΩ√"
"7572",18000,123.81,7,1993,201809,20,"µø",479.767385510056,"1990s","Old","∞°¿ª","µµΩ√"
"7573",13500,84.81,7,1993,201809,22,"µø",525.291828793774,"1990s","Old","∞°¿ª","µµΩ√"
"7574",13700,84.81,3,1993,201810,3,"µø",533.073929961089,"1990s","Old","∞°¿ª","µµΩ√"
"7575",17500,123.81,6,1993,201810,4,"µø",466.440513690332,"1990s","Old","∞°¿ª","µµΩ√"
"7576",15800,84.81,14,1993,201810,4,"µø",614.785992217899,"1990s","Old","∞°¿ª","µµΩ√"
"7577",14500,84.81,10,1993,201810,12,"µø",564.20233463035,"1990s","Old","∞°¿ª","µµΩ√"
"7578",11800,72.33,15,1993,201810,15,"µø",538.36582330983,"1990s","Old","∞°¿ª","µµΩ√"
"7579",13500,84.81,6,1993,201811,9,"µø",525.291828793774,"1990s","Old","∞°¿ª","µµΩ√"
"7580",15000,84.81,9,1993,201811,15,"µø",583.657587548638,"1990s","Old","∞°¿ª","µµΩ√"
"7581",13900,84.81,9,1993,201811,15,"µø",540.856031128405,"1990s","Old","∞°¿ª","µµΩ√"
"7582",13200,84.81,14,1993,201812,8,"µø",513.618677042801,"1990s","Old","∞‹øÔ","µµΩ√"
"7583",11500,72.78,14,1993,201812,9,"µø",521.434460016488,"1990s","Old","∞‹øÔ","µµΩ√"
